Timestamp,Rank,Epoch,Computation_Time,GPU_ID,GPU_Name,GPU_Load,GPU_Free_Mem_MB,GPU_Used_Mem_MB,GPU_Total_Mem_MB,GPU_Temp_C
2024-11-26 21:34:51,3,1,323.5273633003235,0,NVIDIA A40,0.0%,40450.0,5174.0,46068.0,64.0
2024-11-26 21:34:51,3,1,323.5273633003235,1,NVIDIA A40,0.0%,40450.0,5174.0,46068.0,64.0
2024-11-26 21:34:51,3,1,323.5273633003235,2,NVIDIA A40,0.0%,40450.0,5174.0,46068.0,59.0
2024-11-26 21:34:51,3,1,323.5273633003235,3,NVIDIA A40,0.0%,40450.0,5174.0,46068.0,59.0
2024-11-26 21:34:51,0,1,324.7393608093262,0,NVIDIA A40,0.0%,40450.0,5174.0,46068.0,64.0
2024-11-26 21:34:51,0,1,324.7393608093262,1,NVIDIA A40,0.0%,40450.0,5174.0,46068.0,64.0
2024-11-26 21:34:51,0,1,324.7393608093262,2,NVIDIA A40,0.0%,40450.0,5174.0,46068.0,59.0
2024-11-26 21:34:51,0,1,324.7393608093262,3,NVIDIA A40,0.0%,40450.0,5174.0,46068.0,59.0
2024-11-26 21:34:51,2,1,323.9152886867523,0,NVIDIA A40,0.0%,40450.0,5174.0,46068.0,64.0
2024-11-26 21:34:51,2,1,323.9152886867523,1,NVIDIA A40,0.0%,40450.0,5174.0,46068.0,64.0
2024-11-26 21:34:51,2,1,323.9152886867523,2,NVIDIA A40,0.0%,40450.0,5174.0,46068.0,59.0
2024-11-26 21:34:51,2,1,323.9152886867523,3,NVIDIA A40,0.0%,40450.0,5174.0,46068.0,59.0
2024-11-26 21:34:52,1,1,323.9334361553192,0,NVIDIA A40,31.0%,42878.0,2746.0,46068.0,64.0
2024-11-26 21:34:52,1,1,323.9334361553192,1,NVIDIA A40,0.0%,40450.0,5174.0,46068.0,63.0
2024-11-26 21:34:52,1,1,323.9334361553192,2,NVIDIA A40,0.0%,40450.0,5174.0,46068.0,58.0
2024-11-26 21:34:52,1,1,323.9334361553192,3,NVIDIA A40,31.0%,42878.0,2746.0,46068.0,59.0
2024-11-26 21:37:45,0,2,173.1703326702118,0,NVIDIA A40,0.0%,40382.0,5242.0,46068.0,64.0
2024-11-26 21:37:45,0,2,173.1703326702118,1,NVIDIA A40,0.0%,40382.0,5242.0,46068.0,64.0
2024-11-26 21:37:45,0,2,173.1703326702118,2,NVIDIA A40,0.0%,40382.0,5242.0,46068.0,58.0
2024-11-26 21:37:45,0,2,173.1703326702118,3,NVIDIA A40,0.0%,40382.0,5242.0,46068.0,59.0
2024-11-26 21:37:45,3,2,173.3353135585785,0,NVIDIA A40,0.0%,42544.0,3080.0,46068.0,64.0
2024-11-26 21:37:45,3,2,173.3353135585785,1,NVIDIA A40,0.0%,40382.0,5242.0,46068.0,64.0
2024-11-26 21:37:45,3,2,173.3353135585785,2,NVIDIA A40,0.0%,40382.0,5242.0,46068.0,58.0
2024-11-26 21:37:45,3,2,173.3353135585785,3,NVIDIA A40,0.0%,40382.0,5242.0,46068.0,59.0
2024-11-26 21:37:45,2,2,173.06524205207825,0,NVIDIA A40,0.0%,42878.0,2746.0,46068.0,64.0
2024-11-26 21:37:45,2,2,173.06524205207825,1,NVIDIA A40,0.0%,40382.0,5242.0,46068.0,64.0
2024-11-26 21:37:45,2,2,173.06524205207825,2,NVIDIA A40,0.0%,40382.0,5242.0,46068.0,58.0
2024-11-26 21:37:45,2,2,173.06524205207825,3,NVIDIA A40,0.0%,40382.0,5242.0,46068.0,59.0
2024-11-26 21:37:45,1,2,173.04155683517456,0,NVIDIA A40,32.0%,42878.0,2746.0,46068.0,64.0
2024-11-26 21:37:45,1,2,173.04155683517456,1,NVIDIA A40,0.0%,40382.0,5242.0,46068.0,64.0
2024-11-26 21:37:45,1,2,173.04155683517456,2,NVIDIA A40,0.0%,42024.0,3600.0,46068.0,58.0
2024-11-26 21:37:45,1,2,173.04155683517456,3,NVIDIA A40,17.0%,42544.0,3080.0,46068.0,59.0
2024-11-26 21:40:35,0,3,168.51243543624878,0,NVIDIA A40,0.0%,40382.0,5242.0,46068.0,63.0
2024-11-26 21:40:35,0,3,168.51243543624878,1,NVIDIA A40,0.0%,40382.0,5242.0,46068.0,64.0
2024-11-26 21:40:35,0,3,168.51243543624878,2,NVIDIA A40,0.0%,40382.0,5242.0,46068.0,58.0
2024-11-26 21:40:35,0,3,168.51243543624878,3,NVIDIA A40,0.0%,40382.0,5242.0,46068.0,59.0
2024-11-26 21:40:35,2,3,168.59845423698425,0,NVIDIA A40,0.0%,41796.0,3828.0,46068.0,63.0
2024-11-26 21:40:35,2,3,168.59845423698425,1,NVIDIA A40,0.0%,40382.0,5242.0,46068.0,64.0
2024-11-26 21:40:35,2,3,168.59845423698425,2,NVIDIA A40,0.0%,40382.0,5242.0,46068.0,58.0
2024-11-26 21:40:35,2,3,168.59845423698425,3,NVIDIA A40,0.0%,40382.0,5242.0,46068.0,59.0
2024-11-26 21:40:35,3,3,168.61249089241028,0,NVIDIA A40,0.0%,42878.0,2746.0,46068.0,63.0
2024-11-26 21:40:35,3,3,168.61249089241028,1,NVIDIA A40,0.0%,40382.0,5242.0,46068.0,64.0
2024-11-26 21:40:35,3,3,168.61249089241028,2,NVIDIA A40,0.0%,41682.0,3942.0,46068.0,58.0
2024-11-26 21:40:35,3,3,168.61249089241028,3,NVIDIA A40,0.0%,40382.0,5242.0,46068.0,59.0
2024-11-26 21:40:35,1,3,168.70150208473206,0,NVIDIA A40,0.0%,42878.0,2746.0,46068.0,63.0
2024-11-26 21:40:35,1,3,168.70150208473206,1,NVIDIA A40,0.0%,40382.0,5242.0,46068.0,64.0
2024-11-26 21:40:35,1,3,168.70150208473206,2,NVIDIA A40,0.0%,42100.0,3524.0,46068.0,58.0
2024-11-26 21:40:35,1,3,168.70150208473206,3,NVIDIA A40,0.0%,40542.0,5082.0,46068.0,59.0
